h3_cell,listing_count,unlicensed_rate,mean_price,coef_bw30,coef_bw60,coef_bw101,sig_bw30,sig_bw60,sig_bw101
881ec910edfffff,5,0.4,3068.2,-0.20991993898674474,-0.1969774930479465,-0.1821020814582441,1,1,1
881ec91121fffff,9,0.2222222222222222,2656.222222222222,-0.1370957023942212,-0.15892784501761362,-0.14933666849461505,1,1,1
881ec91125fffff,29,0.3103448275862069,3216.4827586206898,-0.15764133440289085,-0.1699163848301037,-0.16610842381984023,1,1,1
881ec91129fffff,10,0.5,2603.6,-0.10275234085862084,-0.1516614904806923,-0.14900811440242592,0,1,1
881ec9112dfffff,8,0.25,4201.0,-0.129742265395441,-0.1624171707486056,-0.16564570650308413,1,1,1
881ec91143fffff,10,0.2,3107.6,-0.09793482713645531,-0.11349723087173144,-0.12197199566853958,0,0,1
881ec91145fffff,7,0.14285714285714285,4584.571428571428,-0.08153596917442019,-0.12435721283968486,-0.14429435147131014,0,0,1
881ec91155fffff,16,0.375,3620.4375,-0.1078596751313693,-0.11254366944408367,-0.11492934919799426,0,0,1
881ec91161fffff,6,0.6666666666666666,2494.6666666666665,-0.08940305248058364,-0.14471010423810668,-0.16376440023336092,0,1,1
881ec91163fffff,9,0.3333333333333333,2413.1111111111113,-0.0885936147587846,-0.14171221549670354,-0.14799193454990514,0,1,1
881ec91167fffff,51,0.2549019607843137,2865.156862745098,-0.09740042602888353,-0.15373587774779335,-0.16474115725716337,0,1,1
881ec91169fffff,9,1.0,3222.222222222222,-0.07635700912539012,-0.1331377624859212,-0.1617889723425069,0,1,1
881ec9116bfffff,116,0.3103448275862069,2906.560344827586,-0.08425948648227058,-0.1346931187720258,-0.14690860308002032,0,1,1
881ec91183fffff,13,0.7692307692307693,2322.4615384615386,-0.0032471306164967295,-0.07982511740596154,-0.12968950563659218,0,0,1
881ec9118dfffff,10,0.7,3044.6,0.046975106378952684,-0.035862867759010514,-0.10949868863428108,0,0,1
881ec91191fffff,49,0.40816326530612246,3122.816326530612,-0.14077431178678826,-0.14279490144317747,-0.15452727673565847,0,1,1
881ec91193fffff,67,0.22388059701492538,2832.089552238806,-0.15380350509317645,-0.16421967404452673,-0.16127144979573443,0,1,1
881ec91195fffff,46,0.3695652173913043,1467.9130434782608,-0.05277138627117067,-0.09576896458013469,-0.13648732517964307,0,0,1
881ec91197fffff,115,0.3130434782608696,3297.573913043478,-0.06915088990050876,-0.1153728929565005,-0.14310095390093336,0,0,1
881ec91199fffff,87,0.1724137931034483,2752.5632183908046,-0.16939471797416397,-0.16965615297806436,-0.16366283744591123,1,1,1
881ec9119bfffff,96,0.08333333333333333,3863.7395833333335,-0.2382817065620302,-0.1981928284437941,-0.1755156198429874,1,1,1
881ec9119dfffff,13,0.6153846153846154,1642.4615384615386,-0.09266394121509075,-0.11697466191894518,-0.14393855005257045,0,1,1
